DETLOC,Facility Name,City,State,AOR,Distance to Field Office (mi),Last Inspection Type,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Rating,Second to Last Inspection Date
JOSEPOR,JOSEPHINE COUNTY JAIL,GRANTS PASS,OR,SEA,412.58,ORSA,Acceptable,,9/14/17,ORSA,Acceptable,9/6/16
KANKEIL,KANKAKEE COUNTY JAIL (JEROME COMBS DET CTR),KANKAKEE,IL,CHI,57.09,Regular,Acceptable,Acceptable,3/9/17,Regular,Special Review - Pre-Occupancy,12/8/16
KARNETX,KARNES COUNTY CORRECTIONAL CENTER,KARNES CITY,TX,SNA,62.47,Regular,Acceptable,Acceptable,3/16/17,Regular,Acceptable,3/17/16
KENOSWI,KENOSHA COUNTY DETENTION CENTER,KENOSHA,WI,CHI,58.56,Regular,Acceptable,Acceptable,6/8/17,Regular,Acceptable,6/3/16
KENTCMI,KENT COUNTY JAIL,GRAND RAPIDS,MI,DET,159.99,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,8/31/16
KRO,KROME NORTH SERVICE PROCESSING CENTER,MIAMI,FL,MIA,42.85,Regular,Meets Standard,Meets Standard,4/6/17,Regular,Meets Standard,3/31/16
LAPAZAZ,LA PAZ COUNTY ADULT DETENTION FACILITY,PARKER,AZ,PHO,162.85,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,7/8/16
LAPLACO,LA PLATA COUNTY JAIL,DURANGO,CO,DEN,341.71,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,8/14/15
LEXINSC,LEXINGTON COUNTY JAIL,LEXINGTON,SC,ATL,202.12,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
LINCOMO,LINCOLN COUNTY DETENTION CENTER,TROY,MO,CHI,343.02,ORSA,Acceptable,,9/5/17,Regular,Acceptable,6/16/16
LINNJIA,LINN COUNTY JAIL,CEDAR RAPIDS,IA,SPM,406.82,Regular,Acceptable,Acceptable,5/7/15,Regular,Acceptable,5/16/13
LONPDAR,LONOKE POLICE DEPARTMENT,LONOKE,AR,NOL,450.70,ORSA,Acceptable,,8/29/17,ORSA,Acceptable,7/12/16
LRDICDF,LAREDO PROCESSING CENTER,LAREDO,TX,SNA,169.51,Regular,Acceptable,Acceptable,6/8/17,Regular,Acceptable,6/3/16
LSRDCTX,LA SALLE COUNTY REGIONAL DETENTION CENTER,ENCINAL,TX,SNA,134.86,Regular,Acceptable,Acceptable,9/21/17,Regular,Acceptable,9/22/16
LUBBOTX,LUBBOCK COUNTY DETENTION CENTER,LUBBOCK,TX,DAL,345.78,ORSA,Acceptable,,10/20/17,ORSA,Acceptable,7/29/16
MARIOIN,MARION COUNTY JAIL,INDIANAPOLIS,IN,CHI,185.47,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,6/30/16
MARSHIA,MARSHALL COUNTY JAIL,MARSHALLTOWN,IA,SPM,370.20,Regular,Pending,Acceptable,10/19/17,Regular,Acceptable,9/24/15
MCHENIL,MCHENRY COUNTY CORRECTIONAL FACILITY,WOODSTOCK,IL,CHI,70.22,Regular,Acceptable,Acceptable,6/15/17,Regular,Acceptable,6/16/16
MECKLNC,MECKLENBURG COUNTY DETENTION CENTER NORTH,CHARLOTTE,NC,ATL,248.25,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
MILLRAR,MILLER COUNTY JAIL,TEXARKANA,AR,NOL,413.63,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,7/7/16
MINICID,MINICASSIA DETENTION CENTER,BURLEY,ID,SLC,304.48,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,8/5/16
MNTGMAL,MONTGOMERY CITY JAIL,MONTGOMERY,AL,NOL,310.68,ORSA,Acceptable,,9/13/17,ORSA,Acceptable,7/7/16
MOFFECO,MOFFAT COUNTY JAIL,CRAIG,CO,DEN,211.15,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,8/4/16
MONROFL,MONROE COUNTY DETENTION CENTER,KEY WEST,FL,MIA,181.99,Regular,Meets Standard,Meets Standard,7/27/17,Regular,Meets Standard,7/28/16
